Item,Color,Utterance,Combo,RoundMTypicality,YMin,YMax
pear,green,green_pepper,green_pear,0.149,0.0142857142857143,0.336428571428571
pear,green,green_tomato,green_pear,0.055,0.00846153846153846,0.118461538461538
pear,green,orange_carrot,green_pear,0.102,0.002,0.288025
pear,green,orange_pear,green_pear,0.224,0.188496875,0.259375
pear,green,orange_pepper,green_pear,0.035,0.0161538461538462,0.0546153846153846
pear,green,purple_carrot,green_pear,0.01,0.002,0.019025
pear,green,purple_tomato,green_pear,0.049,0.01625,0.08375
pear,green,red_apple,green_pear,0.003,0,0.00727272727272727
pear,green,red_avocado,green_pear,0.014,0,0.0336363636363636
pear,green,red_pepper,green_pear,0.044,0.0176923076923077,0.0753846153846154
pear,green,red_tomato,green_pear,0.02,0.003,0.039
pear,green,yellow_banana,green_pear,0.055,0.0190681818181818,0.0909318181818182
pear,green,yellow_pear,green_pear,0.492,0.4451171875,0.5401359375
pear,orange,black_avocado,orange_pear,0.097,0.0328571428571429,0.189303571428571
pear,orange,black_pepper,orange_pear,0.033,0.00933333333333333,0.0660166666666667
pear,orange,blue_apple,orange_pear,0.023,0.0068421052631579,0.0436973684210526
pear,orange,blue_banana,orange_pear,0.027,0.011,0.051
pear,orange,brown_banana,orange_pear,0.012,0.00142857142857143,0.027875
pear,orange,brown_carrot,orange_pear,0.073,0.01375,0.14
pear,orange,green_apple,orange_pear,0.031,0.0135714285714286,0.0532142857142857
pear,orange,green_avocado,orange_pear,0.031,0.008,0.061025
pear,orange,green_pear,orange_pear,0.197,0.1651234375,0.2313171875
pear,orange,green_pepper,orange_pear,0.041,0.016875,0.070015625
pear,orange,green_tomato,orange_pear,0.025,0.00764705882352941,0.0470735294117647
pear,orange,orange_carrot,orange_pear,0.04,0.0142105263157895,0.068421052631579
pear,orange,orange_pear,orange_pear,0.855,0.81149375,0.8921265625
pear,orange,orange_pepper,orange_pear,0.101,0.0433194444444445,0.163333333333333
pear,orange,purple_carrot,orange_pear,0.014,0.000999999999999999,0.036
pear,orange,purple_tomato,orange_pear,0.035,0.01,0.067
pear,orange,red_apple,orange_pear,0.09,0.0314166666666667,0.162392857142857
pear,orange,red_avocado,orange_pear,0.065,0.0184230769230769,0.133096153846154
pear,orange,red_pepper,orange_pear,0.069,0.0308333333333333,0.115020833333333
pear,orange,red_tomato,orange_pear,0.072,0.0266458333333333,0.128395833333333
pear,orange,yellow_banana,orange_pear,0.048,0.00692307692307692,0.108538461538461
pear,orange,yellow_pear,orange_pear,0.277,0.2399265625,0.3159515625
pear,yellow,black_avocado,yellow_pear,0.016,0.00525,0.0273684210526316
pear,yellow,black_pepper,yellow_pear,0.012,0.00375,0.02125
pear,yellow,blue_apple,yellow_pear,0.013,0.00444444444444445,0.0227916666666667
pear,yellow,blue_banana,yellow_pear,0.018,0.00692307692307692,0.0315384615384615
pear,yellow,brown_banana,yellow_pear,0.094,0.0507692307692308,0.144615384615385
pear,yellow,brown_carrot,yellow_pear,0.054,0.011,0.122
pear,yellow,green_apple,yellow_pear,0.046,0.005,0.101666666666667
pear,yellow,green_avocado,yellow_pear,0.044,0.00888888888888889,0.0877916666666667
pear,yellow,green_pear,yellow_pear,0.368,0.325740625,0.4074625
pear,yellow,green_pepper,yellow_pear,0.083,0.0161111111111111,0.181708333333333
pear,yellow,green_tomato,yellow_pear,0.026,0.00461538461538461,0.0646153846153846
pear,yellow,orange_carrot,yellow_pear,0.043,0.0172613636363636,0.0741022727272727
pear,yellow,orange_pear,yellow_pear,0.436,0.3935578125,0.4842125
pear,yellow,orange_pepper,yellow_pear,0.09,0.0361346153846154,0.15
pear,yellow,purple_carrot,yellow_pear,0.015,0.00166666666666667,0.0383333333333333
pear,yellow,purple_tomato,yellow_pear,0.1,0,0.22
pear,yellow,red_apple,yellow_pear,0.066,0.019975,0.122
pear,yellow,red_avocado,yellow_pear,0.023,0.00421052631578947,0.0479078947368421
pear,yellow,red_pepper,yellow_pear,0.028,0.00682894736842105,0.0568552631578947
pear,yellow,red_tomato,yellow_pear,0.055,0.0104761904761905,0.12572619047619
pear,yellow,yellow_banana,yellow_pear,0.056,0.0169230769230769,0.0992307692307692
pear,yellow,yellow_pear,yellow_pear,0.943,0.922059375,0.9608171875
pepper,black,black_avocado,black_pepper,0.049,0.0163026315789474,0.0926447368421052
pepper,black,black_pepper,black_pepper,0.877,0.828901459854015,0.915556569343066
pepper,black,blue_apple,black_pepper,0.03,0.00747916666666667,0.06
pepper,black,blue_banana,black_pepper,0.013,0.00333333333333333,0.025
pepper,black,brown_banana,black_pepper,0.029,0.0105555555555556,0.0561111111111111
pepper,black,brown_carrot,black_pepper,0.032,0.00466666666666667,0.0693333333333333
pepper,black,green_apple,black_pepper,0.007,0,0.0190909090909091
pepper,black,green_avocado,black_pepper,0.043,0.0165108695652174,0.0782826086956522
pepper,black,green_pear,black_pepper,0.074,0.0279875,0.1395
pepper,black,green_pepper,black_pepper,0.206,0.170276223776224,0.242382867132867
pepper,black,green_tomato,black_pepper,0.02,0.00472368421052632,0.041578947368421
pepper,black,orange_carrot,black_pepper,0.03,0.01,0.051890625
pepper,black,orange_pear,black_pepper,0.056,0.0183333333333333,0.108902777777778
pepper,black,orange_pepper,black_pepper,0.138,0.109218085106383,0.166668439716312
pepper,black,purple_carrot,black_pepper,0.038,0.0130576923076923,0.0661538461538462
pepper,black,purple_tomato,black_pepper,0.138,0,0.414
pepper,black,red_apple,black_pepper,0.031,0.0115657894736842,0.0531710526315789
pepper,black,red_avocado,black_pepper,0.037,0.0121428571428571,0.0692857142857143
pepper,black,red_pepper,black_pepper,0.184,0.150827651515152,0.217276515151515
pepper,black,red_tomato,black_pepper,0.04,0.00916666666666667,0.0891666666666667
pepper,black,yellow_banana,black_pepper,0.046,0.0184615384615385,0.0761730769230769
pepper,black,yellow_pear,black_pepper,0.033,0.00357142857142857,0.0764642857142857
pepper,green,black_avocado,green_pepper,0.053,0.0234782608695652,0.0873913043478261
pepper,green,black_pepper,green_pepper,0.157,0.124909926470588,0.189852941176471
pepper,green,blue_apple,green_pepper,0.006,0.002,0.012
pepper,green,blue_banana,green_pepper,0.048,0.015,0.0978928571428571
pepper,green,brown_banana,green_pepper,0.039,0.02,0.0617647058823529
pepper,green,brown_carrot,green_pepper,0.007,0.000909090909090909,0.0163636363636364
pepper,green,green_apple,green_pepper,0.135,0.0435294117647059,0.258279411764706
