gameid	context	NormedTypicality	UtteranceType	Color	ColorAndType	Type	ColorMentioned	ItemMentioned	Other	Item	TargetColor	Target	Dist1	Dist2	UttforBDA
3985-8	informative	0.419	color_and_type	0	1	0	TRUE	TRUE	FALSE	banana	blue	blue_banana	black_pepper	brown_banana	blue_banana
3985-8	informative-cc	0.686	color_and_type	0	1	0	TRUE	TRUE	FALSE	pear	orange	orange_pear	yellow_pear	orange_carrot	orange_pear
3985-8	informative	0.812	color_and_type	0	1	0	TRUE	TRUE	FALSE	avocado	black	black_avocado	red_pepper	green_avocado	black_avocado
3985-8	overinformative	0.841	type	0	0	1	FALSE	TRUE	FALSE	pepper	orange	orange_pepper	black_avocado	purple_tomato	pepper
3985-8	informative-cc	0.696	color_and_type	0	1	0	TRUE	TRUE	FALSE	avocado	red	red_avocado	black_avocado	red_apple	red_avocado
3841-5	informative-cc	0.812	OTHER	0	0	0	TRUE	FALSE	TRUE	avocado	black	black_avocado	black_pepper	red_avocado	other
3841-5	informative-cc	0.503	OTHER	0	0	0	TRUE	FALSE	TRUE	carrot	purple	purple_carrot	purple_tomato	brown_carrot	other
3841-5	informative-cc	0.412	OTHER	0	0	0	TRUE	FALSE	TRUE	tomato	purple	purple_tomato	green_pear	green_tomato	other
3841-5	overinformative	0.412	OTHER	0	0	0	FALSE	FALSE	TRUE	tomato	purple	purple_tomato	orange_pepper	blue_banana	other
3841-5	informative-cc	0.953	color_and_type	0	1	0	TRUE	TRUE	FALSE	pear	green	green_pear	green_apple	orange_pear	green_pear
3841-5	informative-cc	0.979	OTHER	0	0	0	TRUE	FALSE	TRUE	banana	yellow	yellow_banana	brown_banana	yellow_pear	other
3841-5	overinformative-cc	0.976	OTHER	0	0	0	TRUE	FALSE	TRUE	carrot	orange	orange_carrot	black_avocado	orange_pepper	other
3841-5	overinformative	0.934	color	1	0	0	TRUE	FALSE	FALSE	pepper	red	red_pepper	purple_carrot	orange_carrot	red
3841-5	overinformative	0.419	color	1	0	0	TRUE	FALSE	FALSE	banana	blue	blue_banana	purple_carrot	green_avocado	blue
3841-5	overinformative-cc	0.841	color_and_type	0	1	0	TRUE	TRUE	FALSE	pepper	orange	orange_pepper	blue_banana	green_avocado	orange_pepper
3841-5	informative-cc	0.696	color_and_type	0	1	0	TRUE	TRUE	FALSE	avocado	red	red_avocado	green_avocado	red_apple	red_avocado
3841-5	overinformative-cc	0.979	OTHER	0	0	0	FALSE	FALSE	TRUE	banana	yellow	yellow_banana	red_pepper	yellow_pear	other
3841-5	overinformative	0.686	color	1	0	0	TRUE	FALSE	FALSE	pear	orange	orange_pear	brown_carrot	green_tomato	orange
3841-5	informative	0.976	color	1	0	0	TRUE	FALSE	FALSE	carrot	orange	orange_carrot	brown_carrot	blue_banana	orange
3841-5	informative	0.657	color	1	0	0	TRUE	FALSE	FALSE	banana	brown	brown_banana	blue_banana	red_tomato	brown
3841-5	overinformative	0.738	color	1	0	0	TRUE	FALSE	FALSE	tomato	green	green_tomato	red_avocado	black_pepper	green
3841-5	informative-cc	0.419	OTHER	0	0	0	TRUE	FALSE	TRUE	banana	blue	blue_banana	yellow_banana	blue_apple	other
3841-5	informative	0.503	OTHER	0	0	0	TRUE	FALSE	TRUE	carrot	purple	purple_carrot	brown_carrot	red_avocado	other
3841-5	informative-cc	0.961	color_and_type	0	1	0	TRUE	TRUE	FALSE	apple	green	green_apple	green_tomato	blue_apple	green_apple
3841-5	informative	0.637	color	1	0	0	TRUE	FALSE	FALSE	pepper	black	black_pepper	green_apple	orange_pepper	black
