gameid	Trial	condition	TargetItem	basiclevelClickedObj	superdomainClickedObj	speakerMessages	listenerMessages	refExp	clickedType	sub	basic	super	moreThanOneLevelMentioned	additionalAttrMentioned	oneMentioned	theMentioned	fullSentence	spLocsClickedObj	lisLocsClickedObj	alt1Name	alt1SpLocs	alt1LisLocs	alt1Basiclevel	alt1superdomain	alt2Name	alt2SpLocs	alt2LisLocs	alt2Basiclevel	alt2superdomain
4633-0	37	basic23	dressShirt	shirt	clothing	shirt		shirt	dressShirt	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	gloves	2	3	NA	clothing	chips	3	2	NA	snack
4633-0	38	basic33	convertible	car	vehicle	car		car	convertible	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	rabbit	2	3	NA	animal	gloves	3	2	NA	clothing
4633-0	39	basic23	picnicTable	table	furniture	picnic table		picnic table	picnicTable	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	bookcase	2	3	NA	furniture	kitten	3	2	NA	animal
4633-0	41	basic23	minivan	car	vehicle	minivan		minivan	minivan	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	pig	4	4	NA	animal	train	3	3	NA	vehicle
4633-0	45	basic33	pigeon	bird	animal	bird		bird	pigeon	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	bed	3	3	NA	furniture	chips	4	4	NA	snack
4633-0	46	basic12	hawaiiShirt	shirt	clothing	print shirt		print shirt	hawaiiShirt	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	4	3	gloves	2	2	NA	clothing	campShirt	3	4	shirt	clothing
4633-0	47	basic22	tShirt	shirt	clothing	shirt		shirt	tShirt	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	gloves	4	3	NA	clothing	bathrobe	3	4	NA	clothing
4633-0	49	basic33	parrot	bird	animal	bird		bird	parrot	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	dress	4	4	NA	clothing	motorcycle	3	3	NA	vehicle
4633-0	51	basic23	sportsCar	car	vehicle	car		car	sportsCar	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2	bathrobe	4	3	NA	clothing	train	2	4	NA	vehicle
1997-d	3	basic22	hawaiiShirt	shirt	clothing	shirt		shirt	hawaiiShirt	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	dress	4	4	NA	clothing	socks	3	3	NA	clothing
1997-d	4	basic23	skittles	candy	snack	candy		candy	skittles	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	chips	3	2	NA	snack	lobster	2	3	NA	animal
1997-d	8	basic12	catfish	fish	animal	grey fish		grey fish	catfish	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	2	3	discusFish	3	2	fish	animal	sheep	4	4	NA	animal
1997-d	9	basic33	poloShirt	shirt	clothing	shirt		shirt	poloShirt	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	3	motorcycle	3	2	NA	vehicle	grasses	4	4	NA	plant
1997-d	11	basic23	tulip	flower	plant	flower		flower	tulip	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	popcorn	4	4	NA	snack	pottedPlant	2	2	NA	plant
1997-d	12	basic12	dressShirt	shirt	clothing	long sleeve shirt		long sleeve shirt	dressShirt	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	3	4	bathrobe	2	3	NA	clothing	campShirt	4	2	shirt	clothing
1997-d	13	basic23	dalmatian	dog	animal	dalmation		dalmation	dalmatian	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	popcorn	2	3	NA	snack	elephant	3	2	NA	animal
