itemtype,labeltype,item,label,meanresponse,YMin,YMax
dist_samesuper,sub,pottedplant,a rose,0.054375,0.019359375,0.095640625
dist_samesuper,sub,pottedplant,a sunflower,0.0811111111111111,0.03,0.141138888888889
dist_samesuper,sub,pottedplant,a tulip,0.0966666666666667,0.038875,0.172222222222222
dist_samesuper,sub,pretzels,gummybears,0.0405,0.016,0.0720125
dist_samesuper,sub,pretzels,jellybeans,0.01625,0.006875,0.03
dist_samesuper,sub,pretzels,M&Ms,0.025,0.003,0.054
dist_samesuper,sub,pretzels,skittles,0.0218181818181818,0.00545454545454545,0.04275
dist_samesuper,sub,rabbit,a black bear,0.0155555555555556,0.00611111111111111,0.026125
dist_samesuper,sub,rabbit,a catfish,0.0114285714285714,0.00523809523809524,0.0185714285714286
dist_samesuper,sub,rabbit,a clownfish,0.0335,0.013,0.0595125
dist_samesuper,sub,rabbit,a dalmatian,0.0846666666666667,0.0206666666666667,0.169333333333333
dist_samesuper,sub,rabbit,a goldfish,0.0127777777777778,0.005,0.0227777777777778
dist_samesuper,sub,rabbit,a grizzly bear,0.0483333333333333,0.0183333333333333,0.0866666666666667
dist_samesuper,sub,rabbit,a hummingbird,0.012,0.00533333333333333,0.0186666666666667
dist_samesuper,sub,rabbit,a husky,0.0247058823529412,0.00705882352941176,0.0429411764705882
dist_samesuper,sub,rabbit,a panda bear,0.111,0.014,0.271025
dist_samesuper,sub,rabbit,a parrot,0.0275,0.00875,0.0525
dist_samesuper,sub,rabbit,a pigeon,0.0266666666666667,0.0146666666666667,0.0446666666666667
dist_samesuper,sub,rabbit,a polar bear,0.0283333333333333,0.0144444444444444,0.0433333333333333
dist_samesuper,sub,rabbit,a pug,0.0475,0.0083125,0.101708333333333
dist_samesuper,sub,rabbit,an eagle,0.012,0.002,0.022
dist_samesuper,sub,rhino,a clownfish,0.0192307692307692,0.00384615384615385,0.0353846153846154
dist_samesuper,sub,rhino,a dalmatian,0.0291666666666667,0.0116666666666667,0.0483333333333333
dist_samesuper,sub,rhino,a German Shepherd,0.0558823529411765,0.00823529411764706,0.139441176470588
dist_samesuper,sub,rhino,a goldfish,0.0225,0.011875,0.038125
dist_samesuper,sub,rhino,a hummingbird,0.00842105263157895,0.00577631578947368,0.0115789473684211
dist_samesuper,sub,rhino,a panda bear,0.020625,0.008109375,0.03625
dist_samesuper,sub,rhino,a parrot,0.1,0.00818181818181818,0.258204545454545
dist_samesuper,sub,rhino,a pigeon,0.0676923076923077,0.00228846153846154,0.192326923076923
dist_samesuper,sub,rhino,a polar bear,0.0225,0.008125,0.040015625
dist_samesuper,sub,rhino,a pug,0.0388888888888889,0.00444444444444445,0.0966666666666667
dist_samesuper,sub,rhino,a swordfish,0.0161538461538462,0.00615384615384615,0.0284807692307692
dist_samesuper,sub,rhino,an eagle,0.0213333333333333,0.0106666666666667,0.0326666666666667
dist_samesuper,sub,rosemary,a daisy,0.111666666666667,0.0361111111111111,0.211111111111111
dist_samesuper,sub,rosemary,a rose,0.056,0.013,0.117025
dist_samesuper,sub,rosemary,a sunflower,0.0730769230769231,0.0315192307692308,0.119230769230769
dist_samesuper,sub,rosemary,a tulip,0.0614285714285714,0.0278571428571429,0.0985892857142857
dist_samesuper,sub,sedan,a convertible,0.115882352941176,0.0493676470588235,0.185897058823529
dist_samesuper,sub,sedan,a minivan,0.0727272727272727,0.0245454545454546,0.14
dist_samesuper,sub,sedan,a sports car,0.54125,0.42496875,0.663125
dist_samesuper,sub,sedan,an SUV,0.148571428571429,0.0356785714285714,0.297142857142857
dist_samesuper,sub,sheep,a black bear,0.0214285714285714,0.0104761904761905,0.0333452380952381
dist_samesuper,sub,sheep,a catfish,0.00833333333333333,0.00166666666666667,0.0166666666666667
dist_samesuper,sub,sheep,a clownfish,0.0464285714285714,0.00642857142857143,0.117857142857143
dist_samesuper,sub,sheep,a dalmatian,0.04875,0.005,0.1275
dist_samesuper,sub,sheep,a German Shepherd,0.00583333333333333,0,0.0175
dist_samesuper,sub,sheep,a goldfish,0.0241176470588235,0.01175,0.0405882352941176
dist_samesuper,sub,sheep,a grizzly bear,0.0566666666666667,0.0133055555555556,0.118888888888889
dist_samesuper,sub,sheep,a husky,0.01625,0.005625,0.02875
dist_samesuper,sub,sheep,a panda bear,0.0152631578947368,0.00893421052631579,0.0226315789473684
dist_samesuper,sub,sheep,a parrot,0.049,0.019,0.088025
dist_samesuper,sub,sheep,a pigeon,0.024,0.003,0.06
dist_samesuper,sub,sheep,a polar bear,0.0723076923076923,0.0176730769230769,0.160807692307692
dist_samesuper,sub,sheep,a pug,0.0136363636363636,0.00636363636363636,0.0209318181818182
dist_samesuper,sub,sheep,a swordfish,0.0109090909090909,0.00181818181818182,0.0227272727272727
dist_samesuper,sub,sheep,an eagle,0.0242307692307692,0.0126923076923077,0.0384615384615385
dist_samesuper,sub,sidetable,a bedside table,0.786842105263158,0.711565789473684,0.856315789473684
dist_samesuper,sub,sidetable,a coffee table,0.606111111111111,0.463888888888889,0.748333333333333
dist_samesuper,sub,sidetable,a dining table,0.556363636363636,0.439068181818182,0.668227272727273
dist_samesuper,sub,sidetable,a picnic table,0.157333333333333,0.086,0.23935
dist_samesuper,sub,snake,a catfish,0.0161538461538462,0.00998076923076923,0.0230769230769231
dist_samesuper,sub,snake,a clownfish,0.0235294117647059,0.01,0.0394117647058824
dist_samesuper,sub,snake,a dalmatian,0.0711111111111111,0.0111111111111111,0.156680555555556
dist_samesuper,sub,snake,a goldfish,0.0173333333333333,0.00933333333333333,0.0266666666666667
dist_samesuper,sub,snake,a grizzly bear,0.0771428571428572,0.00714285714285715,0.207142857142857
dist_samesuper,sub,snake,a hummingbird,0.0207142857142857,0.00642857142857143,0.0414285714285714
dist_samesuper,sub,snake,a husky,0.0516666666666667,0.0194444444444444,0.109444444444444
dist_samesuper,sub,snake,a panda bear,0.0275,0.00666666666666667,0.06
dist_samesuper,sub,snake,a parrot,0.0727272727272727,0.0163409090909091,0.139090909090909
dist_samesuper,sub,snake,a polar bear,0.0075,0.004,0.011
dist_samesuper,sub,snake,a pug,0.0293333333333333,0.0133166666666667,0.0506666666666667
dist_samesuper,sub,snake,an eagle,0.0153846153846154,0.00615384615384615,0.0269230769230769
dist_samesuper,sub,socks,a dress shirt,0.113846153846154,0.0307692307692308,0.234615384615385
dist_samesuper,sub,socks,a Hawaii shirt,0.03,0.00916666666666667,0.0566666666666667
dist_samesuper,sub,socks,a polo shirt,0.11875,0.03875,0.2231875
dist_samesuper,sub,socks,a t-shirt,0.0586666666666667,0.00866666666666666,0.123333333333333
dist_samesuper,sub,sparrow,a hummingbird,0.424,0.2399,0.622025
dist_samesuper,sub,sparrow,a parrot,0.21,0.0920357142857143,0.342910714285714
dist_samesuper,sub,sparrow,a pigeon,0.246842105263158,0.128421052631579,0.39475
dist_samesuper,sub,sparrow,an eagle,0.084,0.0409875,0.1350125
dist_samesuper,sub,squirrel,a black bear,0.0253333333333333,0.002,0.0673333333333333
dist_samesuper,sub,squirrel,a catfish,0.0153333333333333,0.008,0.024
dist_samesuper,sub,squirrel,a clownfish,0.012,0.003,0.022
dist_samesuper,sub,squirrel,a dalmatian,0.038,0.01,0.0886666666666667
dist_samesuper,sub,squirrel,a German Shepherd,0.0353333333333333,0.0126666666666667,0.0733333333333333
dist_samesuper,sub,squirrel,a goldfish,0.01625,0.005,0.03
dist_samesuper,sub,squirrel,a grizzly bear,0.0364285714285714,0.00857142857142857,0.0814285714285714
dist_samesuper,sub,squirrel,a hummingbird,0.00823529411764706,0.00352941176470588,0.0129411764705882
dist_samesuper,sub,squirrel,a husky,0.0636842105263158,0.0105131578947368,0.163171052631579
dist_samesuper,sub,squirrel,a panda bear,0.0176923076923077,0.00307692307692308,0.0384615384615385
dist_samesuper,sub,squirrel,a parrot,0.0223529411764706,0.0135147058823529,0.0341176470588235
dist_samesuper,sub,squirrel,a pigeon,0.0335294117647059,0.00411764705882353,0.0794411764705882
