Item,Color,Utterance,Typicality,CI.low,CI.high
carrot,purple,blue apple,0.042,0.00545454545454545,0.0800227272727272
carrot,purple,blue banana,0.039,0.0108333333333333,0.0758541666666667
carrot,purple,brown banana,0.027,0.00636363636363636,0.0518409090909091
carrot,purple,brown carrot,0.161,0.132184375,0.1929421875
carrot,purple,green apple,0.012,0.00357142857142857,0.0221607142857143
carrot,purple,green avocado,0.039,0.0130769230769231,0.0715576923076923
carrot,purple,green pear,0.041,0.0117647058823529,0.0752941176470588
carrot,purple,green pepper,0.04,0.011,0.069025
carrot,purple,green tomato,0.01,0.003,0.018
carrot,purple,orange carrot,0.16,0.1323,0.1891875
carrot,purple,orange pear,0.062,0.0190909090909091,0.114545454545455
carrot,purple,orange pepper,0.026,0.005625,0.060640625
carrot,purple,purple carrot,0.86,0.772820652173913,0.928929347826087
carrot,purple,purple tomato,0.039,0.00571428571428571,0.0914285714285714
carrot,purple,red apple,0.066,0.0114285714285714,0.160035714285714
carrot,purple,red avocado,0.039,0.0106666666666667,0.0760166666666666
carrot,purple,red pepper,0.015,0.00536538461538462,0.0246153846153846
carrot,purple,red tomato,0.019,0.00857142857142857,0.0292857142857143
carrot,purple,yellow banana,0.024,0.009,0.047
carrot,purple,yellow pear,0.064,0.0218181818181818,0.114545454545455
pear,green,black avocado,0.045,0.0180952380952381,0.0804880952380952
pear,green,black pepper,0.081,0.0288888888888889,0.140569444444444
pear,green,blue apple,0.032,0.00769230769230769,0.0646153846153846
pear,green,blue banana,0.025,0.004,0.0593333333333333
pear,green,brown banana,0.024,0.00666666666666667,0.0541666666666667
pear,green,brown carrot,0.025,0.0125,0.04
pear,green,green apple,0.209,0.13725,0.295477272727273
pear,green,green avocado,0.108,0.0366666666666667,0.1941875
pear,green,green pear,0.943,0.920059375,0.96500625
pear,green,green pepper,0.149,0.0128392857142857,0.325
pear,green,green tomato,0.055,0.00998076923076923,0.120807692307692
pear,green,orange carrot,0.102,0.003,0.287025
pear,green,orange pear,0.224,0.1919359375,0.262128125
pear,green,orange pepper,0.035,0.0176730769230769,0.0561538461538462
pear,green,purple carrot,0.01,0.002,0.019
pear,green,purple tomato,0.049,0.01875,0.08125
pear,green,red apple,0.003,0,0.00727272727272727
pear,green,red avocado,0.014,0.000886363636363638,0.0336363636363636
pear,green,red pepper,0.044,0.0184615384615385,0.0761538461538462
pear,green,red tomato,0.02,0.003,0.039
pear,green,yellow banana,0.055,0.0208863636363636,0.0882045454545454
pear,green,yellow pear,0.492,0.444178125,0.5381921875
pear,orange,black avocado,0.097,0.0328392857142857,0.190732142857143
pear,orange,black pepper,0.033,0.00866666666666667,0.0640166666666667
pear,orange,blue apple,0.023,0.00736842105263158,0.0442105263157895
pear,orange,blue banana,0.027,0.0095,0.0495125
pear,orange,brown banana,0.012,0.00142857142857143,0.0271428571428571
pear,orange,brown carrot,0.073,0.02059375,0.14125
pear,orange,green apple,0.031,0.0146428571428571,0.0521607142857143
pear,orange,green avocado,0.031,0.006,0.058025
pear,orange,green pear,0.197,0.168175,0.229690625
pear,orange,green pepper,0.041,0.015625,0.070015625
pear,orange,green tomato,0.025,0.00764705882352941,0.0470588235294118
pear,orange,orange carrot,0.04,0.0152631578947368,0.07
pear,orange,orange pear,0.855,0.8099265625,0.89663125
