modelVersion,costs,semantics,margLikelihood
typicality,empirical,fixedplusempirical,-1239.5092169053269
typicality,empirical,empirical,-1486.9763111192574
typicality,fixed,fixedplusempirical,-1227.3170281721923
typicality,fixed,empirical,-1367.874807269214
typicality,fixed,empirical,-1339.0494881636785
typicality,fixed,fixedplusempirical,-1200.6809614138936
typicality,none,empirical,-1340.3889514442299
typicality,none,fixedplusempirical,-1178.836486062422
typicality,empirical,empirical,-1374.946768513781
typicality,empirical,fixedplusempirical,-1262.1726878472064
typicality,none,fixedplusempirical,-1180.3787615982899
typicality,empirical,empirical,-1403.4006037756835
typicality,empirical,fixedplusempirical,-1222.6388926386082
typicality,none,empirical,-1337.3454425443522
typicality,fixed,empirical,-1380.402237949716
typicality,fixed,fixedplusempirical,-1210.0200094288389
typicality,none,fixedplusempirical,-1177.4309376141869
typicality,empirical,empirical,-1412.7060553636024
typicality,empirical,fixedplusempirical,-1250.3558299106048
typicality,fixed,fixedplusempirical,-1200.5638162871426
typicality,none,empirical,-1354.2942214016703
typicality,fixed,empirical,-1355.404567000579
typicality,none,fixedplusempirical,-1230.6432530132467
typicality,empirical,empirical,-1436.2509352308923
typicality,empirical,fixedplusempirical,-1276.950108554966
typicality,none,empirical,-1371.252783064881
typicality,fixed,empirical,-1318.8389581880813
typicality,fixed,fixedplusempirical,-1302.3859403743184
typicality,fixed,empirical,-1381.3478618429806
typicality,fixed,fixedplusempirical,-1234.4712923736392
typicality,none,empirical,-1360.7552222144332
typicality,none,fixedplusempirical,-1189.544617155755
typicality,empirical,fixedplusempirical,-1216.3835411781397
typicality,empirical,empirical,-1396.3714608083617
typicality,none,fixedplusempirical,-1182.2709608368841
typicality,fixed,empirical,-1378.5873055641985
typicality,empirical,empirical,-1399.0164941631022
typicality,empirical,fixedplusempirical,-1268.4072684388589
typicality,none,empirical,-1339.4266314618003
typicality,fixed,fixedplusempirical,-1369.5484671219945
typicality,none,fixedplusempirical,-1177.0842653478005
typicality,none,empirical,-1355.9282393901692
typicality,empirical,fixedplusempirical,-1205.6497829917
typicality,fixed,empirical,-1362.3695316306585
typicality,empirical,empirical,-1363.4272724358707
typicality,none,fixedplusempirical,-1178.1902125978968
typicality,fixed,fixedplusempirical,-1211.4041187618097
typicality,fixed,fixedplusempirical,-1257.4209396294941
typicality,none,empirical,-1339.3889772438242
typicality,fixed,empirical,-1354.822774143538
typicality,empirical,empirical,-1394.5377152577657
typicality,empirical,fixedplusempirical,-1189.6417843347176
typicality,none,fixedplusempirical,-1183.2423230210475
typicality,empirical,fixedplusempirical,-1243.1601785734526
typicality,empirical,empirical,-1428.9439268688075
typicality,none,empirical,-1371.6108792167918
typicality,fixed,fixedplusempirical,-1228.5439380627568
typicality,none,fixedplusempirical,-1175.8619259841696
typicality,empirical,fixedplusempirical,-1320.4379907051293
typicality,fixed,empirical,-1389.6381129450122
typicality,fixed,fixedplusempirical,-1316.7036157285766
typicality,none,empirical,-1337.9637047602048
typicality,fixed,empirical,-1351.0885774646658
typicality,empirical,empirical,-1410.4671198249102
typicality,none,fixedplusempirical,-1183.456789148102
typicality,none,empirical,-1337.5982238813956
typicality,empirical,empirical,-1386.37897367451
typicality,empirical,fixedplusempirical,-1209.4120325827894
typicality,fixed,empirical,-1340.3873018792065
typicality,none,empirical,-1335.4959647952896
typicality,fixed,fixedplusempirical,-1333.2857670073056
typicality,none,fixedplusempirical,-1184.943941784662
typicality,empirical,fixedplusempirical,-1203.5156090542264
typicality,fixed,fixedplusempirical,-1216.3813918472367
typicality,empirical,empirical,-1396.3164216097389
typicality,fixed,empirical,-1340.7793927262392
typicality,fixed,fixedplusempirical,-1213.532246926643
typicality,none,empirical,-1356.3552000854222
typicality,none,fixedplusempirical,-1198.913263678758
typicality,empirical,fixedplusempirical,-1188.108823719846
typicality,empirical,empirical,-1380.4723007657992
typicality,fixed,empirical,-1346.4986056924179
typicality,none,fixedplusempirical,-1181.6023243032403
typicality,empirical,empirical,-1363.4751860749234
typicality,none,empirical,-1399.0996182171332
typicality,empirical,fixedplusempirical,-1203.3138209182796
typicality,fixed,fixedplusempirical,-1193.7766183787342
typicality,none,empirical,-1354.2961960768964
typicality,none,fixedplusempirical,-1181.9757864290057
typicality,fixed,empirical,-1367.132999525177
typicality,fixed,fixedplusempirical,-1273.0629699969716
typicality,fixed,empirical,-1325.206771231333
typicality,empirical,empirical,-1359.3167580793188
typicality,empirical,fixedplusempirical,-1237.0714501064717
typicality,none,fixedplusempirical,-1191.7065695564274
typicality,fixed,empirical,-1327.8972136044254
typicality,empirical,empirical,-1385.5093655829612
typicality,none,fixedplusempirical,-1178.1353593788542
typicality,none,empirical,-1354.866898181745
typicality,empirical,fixedplusempirical,-1268.9996820727868
typicality,fixed,fixedplusempirical,-1205.9614970230775
typicality,fixed,fixedplusempirical,-1188.560684199978
typicality,none,fixedplusempirical,-1232.1893639103732
typicality,fixed,empirical,-1346.8161409989941
typicality,none,empirical,-1339.7295077153685
typicality,empirical,empirical,-1374.172474292274
typicality,empirical,empirical,-1392.767492855351
typicality,empirical,fixedplusempirical,-1271.5291952677221
typicality,empirical,fixedplusempirical,-1341.620916626785
typicality,none,empirical,-1370.0550248201496
typicality,fixed,fixedplusempirical,-1245.834069308794
typicality,none,empirical,-1337.4862251907375
typicality,fixed,empirical,-1337.078492490569
typicality,fixed,empirical,-1376.041044741956
typicality,none,fixedplusempirical,-1213.326881141155
typicality,none,fixedplusempirical,-1184.4726935057117
typicality,empirical,fixedplusempirical,-1285.7485746667626
typicality,empirical,empirical,-1457.2073064830993
typicality,fixed,fixedplusempirical,-1215.2682899779197
typicality,none,empirical,-1360.3194919584455
typicality,fixed,empirical,-1304.993661790434
typicality,empirical,empirical,-1396.0373424398979
typicality,fixed,fixedplusempirical,-1265.414720981304
typicality,none,fixedplusempirical,-1182.7331860137942
typicality,fixed,fixedplusempirical,-1257.7808816440552
typicality,none,empirical,-1347.588128240936
typicality,empirical,fixedplusempirical,-1224.3124349290822
typicality,empirical,fixedplusempirical,-1286.6350378877028
typicality,empirical,empirical,-1430.32541747115
typicality,fixed,empirical,-1364.565380757444
typicality,empirical,fixedplusempirical,-1333.6720539173944
